Rank,Country/Territory,Int$
1,Qatar,"138,910"
—,Macau,"113,352"
2,Luxembourg,"112,045"
3,Singapore,"105,689"
4,Ireland,"86,988"
5,Brunei,"85,011"
6,Norway,"79,638"
7,United Arab Emirates,"70,441"
8,Kuwait,"67,891"
9,Switzerland,"67,558"
10,United States,"67,426"
—,Hong Kong,"66,527"
11,San Marino,"62,913"
12,Netherlands,"60,299"
—,Taiwan,"57,214"
13,Iceland,"56,974"
14,Saudi Arabia,"56,912"
15,Sweden,"55,989"
16,Denmark,"55,675"
17,Germany,"55,306"
18,Austria,"55,171"
19,Australia,"54,799"
20,Canada,"52,144"
21,Bahrain,"51,991"
22,Belgium,"50,904"
23,Malta,"49,589"
24,Finland,"49,548"
25,France,"48,640"
26,Oman,"48,593"
27,United Kingdom,"48,169"
28,Japan,"46,827"
29,"Korea, South","46,452"
30,Spain,"43,007"
31,Cyprus,"42,956"
32,New Zealand,"42,045"
33,Italy,"41,582"
—,Puerto Rico,"41,198"
34,Czech Republic,"40,585"
35,Slovenia,"40,344"
36,Israel,"40,337"
37,Lithuania,"38,751"
38,Slovakia,"38,321"
39,Estonia,"37,606"
40,Hungary,"35,941"
41,Poland,"35,651"
42,Portugal,"34,936"
43,Malaysia,"34,567"
44,Trinidad and Tobago,"33,713"
45,"Bahamas, The","33,432"
46,Seychelles,"33,118"
47,Latvia,"32,987"
48,Saint Kitts and Nevis,"31,950"
49,Greece,"31,616"
50,Russia,"30,820"
51,Antigua and Barbuda,"30,593"
52,Kazakhstan,"30,178"
53,Romania,"29,555"
54,Turkey,"29,327"
55,Croatia,"29,207"
56,Panama,"28,456"
57,Chile,"27,150"
58,Mauritius,"26,461"
59,Bulgaria,"26,034"
60,Maldives,"24,796"
61,Uruguay,"24,516"
62,Montenegro,"21,977"
63,Turkmenistan,"21,855"
64,Mexico,"21,363"
65,Thailand,"21,361"
66,Belarus,"21,224"
67,China,"20,984"
68,Dominican Republic,"20,625"
69,Argentina,"19,971"
70,Equatorial Guinea,"19,961"
71,Gabon,"19,839"
72,Serbia,"19,767"
73,Botswana,"19,388"
74,Barbados,"19,364"
75,Azerbaijan,"19,156"
76,Iraq,"18,755"
77,Costa Rica,"18,651"
—,World[n 2],"18,391"
78,Iran,"17,832"
79,Grenada,"17,434"
80,North Macedonia,"17,378"
81,Guyana,"17,163"
82,Brazil,"17,106"
83,Palau,"16,855"
84,Colombia,"16,265"
85,Algeria,"16,091"
86,Suriname,"16,044"
87,Lebanon,"15,599"
88,Peru,"15,399"
89,Saint Lucia,"15,159"
90,Mongolia,"15,089"
91,Bosnia and Herzegovina,"14,894"
92,Albania,"14,866"
93,Indonesia,"14,841"
94,Egypt,"14,800"
95,Sri Lanka,"14,509"
96,South Africa,"13,965"
97,Paraguay,"13,213"
98,Georgia,"13,200"
99,Tunisia,"13,093"
—,Kosovo,"13,017"
100,Saint Vincent and the Grenadines,"12,983"
101,Dominica,"12,851"
102,Fiji,"12,689"
103,Ecuador,"11,866"
104,Armenia,"11,845"
105,Namibia,"11,451"
106,Eswatini,"11,139"
107,Bhutan,"10,627"
108,Ukraine,"10,130"
109,Philippines,"10,094"
110,Jordan,"9,939"
111,Jamaica,"9,932"
112,Morocco,"9,667"
113,Uzbekistan,"9,595"
114,Libya,"9,446"
115,Nauru,"9,073"
116,India,"9,027"
117,Guatemala,"9,009"
118,Belize,"8,791"
119,Cape Verde,"8,716"
120,Laos,"8,684"
121,Vietnam,"8,677"
122,El Salvador,"8,593"
123,Bolivia,"8,525"
124,Moldova,"8,161"
125,"Congo, Republic of the","7,336"
126,Ghana,"7,343"
127,Myanmar,"7,220"
128,Tonga,"6,867"
129,Angola,"6,763"
130,Samoa,"6,493"
131,Nigeria,"6,172"
132,Pakistan,"6,016"
133,Djibouti,"5,855"
134,Honduras,"5,600"
135,Bangladesh,"5,453"
136,Timor-Leste,"5,321"
137,Nicaragua,"5,297"
138,Mauritania,"5,158"
139,Cambodia,"5,004"
140,Côte d'Ivoire,"4,754"
141,Tuvalu,"4,535"
142,Kyrgyzstan,"4,193"
143,Zambia,"4,174"
144,Cameroon,"4,099"
145,Papua New Guinea,"4,081"
146,Senegal,"4,079"
147,Kenya,"4,078"
148,Sudan,"3,986"
149,Marshall Islands,"3,972"
150,Tajikistan,"3,751"
151,"Micronesia, Federated States of","3,657"
152,Lesotho,"3,655"
153,Tanzania,"3,652"
154,Benin,"3,648"
155,Nepal,"3,550"
156,São Tomé and Príncipe,"3,499"
157,Vanuatu,"3,039"
158,Comoros,"2,898"
159,"Gambia, The","2,892"
160,Zimbabwe,"2,778"
161,Uganda,"2,753"
162,Ethiopia,"2,702"
163,Rwanda,"2,642"
164,Chad,"2,603"
165,Guinea,"2,574"
166,Mali,"2,569"
167,Solomon Islands,"2,363"
168,Yemen,"2,312"
169,Kiribati,"2,193"
170,Afghanistan,"2,182"
171,Burkina Faso,"2,181"
172,Guinea-Bissau,"2,113"
173,Haiti,"1,916"
174,Togo,"1,913"
175,Madagascar,"1,776"
176,Sierra Leone,"1,765"
177,South Sudan,"1,715"
178,Liberia,"1,428"
179,Mozambique,"1,372"
180,Malawi,"1,292"
181,Niger,"1,152"
182,Eritrea,"1,103"
183,"Congo, Democratic Republic of the",873
184,Central African Republic,864
185,Burundi,724
—,Syria,n/a
—,Venezuela,n/a
