Rank,Country,Score,Electoral processand pluralism,Functio­ning ofgovern­ment,Politicalpartici­pation,Politicalculture,Civilliberties,Regimetype,Region
1,Norway,9.87,10,9.64,10,10,9.71,Full democracy,Western Europe
2,Iceland,9.58,10,9.29,8.89,10,9.71,Full democracy,Western Europe
3,Sweden,9.39,9.58,9.64,8.33,10,9.41,Full democracy,Western Europe
4,New Zealand,9.26,10,9.29,8.89,8.13,10,Full democracy,Asia & Australasia
5,Finland,9.25,10,8.93,8.89,8.75,9.71,Full democracy,Western Europe
6,Ireland,9.24,10,7.86,8.33,10,10,Full democracy,Western Europe
7,Denmark,9.22,10,9.29,8.33,9.38,9.12,Full democracy,Western Europe
7,Canada,9.22,9.58,9.64,7.78,9.38,9.71,Full democracy,North America
9,Australia,9.09,10,8.93,7.78,8.75,10,Full democracy,Asia & Australasia
10,Switzerland,9.03,9.58,9.29,7.78,9.38,9.12,Full democracy,Western Europe
11,Netherlands,9.01,9.58,9.29,8.33,8.75,9.12,Full democracy,Western Europe
12,Luxembourg,8.81,10,8.93,6.67,8.75,9.71,Full democracy,Western Europe
13,Germany,8.68,9.58,8.57,8.33,7.5,9.41,Full democracy,Western Europe
14,United Kingdom,8.52,9.58,7.5,8.89,7.5,9.12,Full democracy,Western Europe
15,Uruguay,8.38,10,8.57,6.11,7.5,9.71,Full democracy,Latin America
16,Austria,8.29,9.58,7.86,8.33,6.88,8.82,Full democracy,Western Europe
16,Spain,8.29,9.58,7.14,7.78,8.13,8.82,Full democracy,Western Europe
18,Mauritius,8.22,9.17,8.21,5.56,8.75,9.41,Full democracy,Sub-Saharan Africa
19,Costa Rica,8.13,9.58,7.5,6.67,7.5,9.41,Full democracy,Latin America
20,France,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
21,Chile,8.08,9.58,8.57,5,8.13,9.12,Full democracy,Latin America
22,Portugal,8.03,9.58,7.86,6.11,7.5,9.12,Full democracy,Western Europe
23,South Korea,8,9.17,7.86,7.22,7.5,8.24,Flawed democracy,Asia & Australasia
24,Japan,7.99,8.75,8.21,6.67,7.5,8.82,Flawed democracy,Asia & Australasia
25,United States,7.96,9.17,7.14,7.78,7.5,8.24,Flawed democracy,North America
